bound_type,strain,ko,media,time_point,id,lb,ub
log_concentration,0,wt,Glc,0,adpglc,-12.706870756646815,-12.277108512984652
log_concentration,0,wt,Glc,0,akg,-9.166303294638448,-8.905188663474767
log_concentration,0,wt,Glc,0,ala-L,-7.608919588571159,-6.134658902026774
log_concentration,0,wt,Glc,0,amp,-9.216323439289942,-8.615323726846235
log_concentration,0,wt,Glc,0,arg-L,-8.74475437028994,-8.47439995566905
log_concentration,0,wt,Glc,0,asn-L,-7.847545988946071,-7.468261149941977
log_concentration,0,wt,Glc,0,atp,-6.253341282918053,-5.908292978202034
log_concentration,0,wt,Glc,0,camp,-11.730763347085428,-11.07960472323023
log_concentration,0,wt,Glc,0,chor,-4.124444276287129,-3.7960425986050748
log_concentration,0,wt,Glc,0,cit,-11.770825460969512,-11.737837503149214
log_concentration,0,wt,Glc,0,citr-L,-10.224693725638785,-9.325073648004686
log_concentration,0,wt,Glc,0,cmp,-9.526828743448455,-9.055175052648163
log_concentration,0,wt,Glc,0,coa,-7.279694781862231,-6.9928589917840185
log_concentration,0,wt,Glc,0,ctp,-8.936890350978416,-8.870709148341126
log_concentration,0,wt,Glc,0,dadp,-11.03008440624742,-10.652891887805035
log_concentration,0,wt,Glc,0,damp,-12.846378392656591,-12.205905127840785
log_concentration,0,wt,Glc,0,datp,-9.825288789689724,-9.32671950601541
log_concentration,0,wt,Glc,0,dcdp,-10.862186186982997,-10.43310390292532
log_concentration,0,wt,Glc,0,dcmp,-12.460203304414744,-12.145821230422603
log_concentration,0,wt,Glc,0,dctp,-9.969268452557554,-9.414817707559706
log_concentration,0,wt,Glc,0,dhap,-7.650012322607356,-7.376535870878676
log_concentration,0,wt,Glc,0,dimp,-15.459704915083446,-15.426716957263151
log_concentration,0,wt,Glc,0,dtdpglu,-13.522100315429828,-13.091284107640439
log_concentration,0,wt,Glc,0,dtmp,-10.202295300782643,-10.02896042726914
log_concentration,0,wt,Glc,0,dttp,-7.641884195053792,-7.18515617709122
log_concentration,0,wt,Glc,0,dump,-11.483948893294373,-10.98554061144845
log_concentration,0,wt,Glc,0,dutp,-13.1571198220894,-13.124131864269104
log_concentration,0,wt,Glc,0,f6p,-9.089541393509961,-8.458083095303682
log_concentration,0,wt,Glc,0,fad,-10.238671709684025,-9.93678841668625
log_concentration,0,wt,Glc,0,fdp,-6.580914484439054,-6.019323725514986
log_concentration,0,wt,Glc,0,fum,-8.098821130480907,-7.436354640019782
log_concentration,0,wt,Glc,0,g1p,-9.068584052704143,-8.477526939764154
log_concentration,0,wt,Glc,0,g6p,-7.3216862677363315,-6.718245459151391
log_concentration,0,wt,Glc,0,gam6p,-8.834056455340338,-8.309766971638776
log_concentration,0,wt,Glc,0,gdp,-9.725095652775074,-9.287747398947216
log_concentration,0,wt,Glc,0,gln-L,-6.035693738752698,-5.415956103360741
log_concentration,0,wt,Glc,0,glu-L,-3.9628712012470833,-3.8099316614995677
log_concentration,0,wt,Glc,0,glutacon,-4.783404980617418,-4.077082864441475
log_concentration,0,wt,Glc,0,glx,-5.906549048025101,-5.431234968201573
log_concentration,0,wt,Glc,0,glyc3p,-8.420191558251837,-7.97826147863039
log_concentration,0,wt,Glc,0,glyclt,-8.49993887457607,-7.980997828632307
log_concentration,0,wt,Glc,0,gmp,-9.153127055425418,-8.793838812564523
log_concentration,0,wt,Glc,0,gsn,-13.588160771469582,-12.471174397828658
log_concentration,0,wt,Glc,0,gthox,-7.624831457299902,-7.237326734076086
log_concentration,0,wt,Glc,0,gthrd,-6.354742620220837,-5.949844132873899
log_concentration,0,wt,Glc,0,gtp,-7.736618377106081,-7.219743178285012
log_concentration,0,wt,Glc,0,gua,-15.43927447387334,-13.488451958033535
log_concentration,0,wt,Glc,0,his-L,-7.688339577719454,-7.566538596906882
log_concentration,0,wt,Glc,0,hxan,-16.19793456571853,-14.427394021484774
log_concentration,0,wt,Glc,0,imp,-10.667439915265195,-9.982800201431138
log_concentration,0,wt,Glc,0,ins,-13.160324953038348,-12.707799617981301
log_concentration,0,wt,Glc,0,itp,-12.337290131069901,-11.48689139101227
log_concentration,0,wt,Glc,0,lac-D,-7.039156900049405,-6.854852483253082
log_concentration,0,wt,Glc,0,mal-L,-7.383818120317904,-7.216966860852045
log_concentration,0,wt,Glc,0,met-L,-9.958451753531062,-9.660709513793863
log_concentration,0,wt,Glc,0,mmal,-10.846477287637374,-10.438919775455588
log_concentration,0,wt,Glc,0,nad,-7.064680356210692,-6.882822009426195
log_concentration,0,wt,Glc,0,nadh,-13.666324495761938,-13.52639390562562
log_concentration,0,wt,Glc,0,nadp,-7.790597894171927,-7.697743359156629
log_concentration,0,wt,Glc,0,nadph,-11.629017691986338,-11.235349215738667
log_concentration,0,wt,Glc,0,orn,-6.79474744440662,-5.948890377880143
log_concentration,0,wt,Glc,0,pep,-9.3056074563489,-8.989762997701506
log_concentration,0,wt,Glc,0,phe-L,-9.850487514891512,-9.453104472233269
log_concentration,0,wt,Glc,0,phpyr,-7.2018960750492,-6.95312938798641
log_concentration,0,wt,Glc,0,pyr,-5.382051392744076,-4.860055261964822
log_concentration,0,wt,Glc,0,r5p,-9.218546240392316,-8.916902506298843
log_concentration,0,wt,Glc,0,ru5p-D,-10.63899416617482,-10.459328241156626
log_concentration,0,wt,Glc,0,s7p,-9.64685131506881,-9.306985754513482
log_concentration,0,wt,Glc,0,ser-L,-8.283340005946112,-7.745166512085839
log_concentration,0,wt,Glc,0,skm,-11.814821283003909,-11.52184514074385
log_concentration,0,wt,Glc,0,succ,-7.024386768715965,-6.865782532050482
log_concentration,0,wt,Glc,0,thr-L,-7.619909416284659,-7.480746711205091
